          Process Id        Arrival Time          Burst Time           Comp Time     Turnaround Time        Waiting Time       Response Time
                  69                  20                   5                   0                   0                   0                  -1
                  70                 129                   2                   0                   0                   0                  -1
                  71                 133                   5                   0                   0                   0                  -1
                  72                 104                   5                   0                   0                   0                  -1
                  73                  71                   4                   0                   0                   0                  -1
                  74                 109                   1                   0                   0                   0                  -1
                  75                 141                   5                   0                   0                   0                  -1
                  76                 197                   4                   0                   0                   0                  -1
                  77                  19                   1                   0                   0                   0                  -1
                  78                  47                   2                   0                   0                   0                  -1
                  79                 122                   1                   0                   0                   0                  -1
                  80                 180                   4                   0                   0                   0                  -1
                  81                 165                   4                   0                   0                   0                  -1
                  82                  42                   1                   0                   0                   0                  -1
                  83                 194                   1                   0                   0                   0                  -1
                  84                  35                   5                   0                   0                   0                  -1
                  85                 125                   5                   0                   0                   0                  -1
                  86                 188                   2                   0                   0                   0                  -1
                  87                 144                   2                   0                   0                   0                  -1
                  88                  28                   1                   0                   0                   0                  -1
                  89                  60                   2                   0                   0                   0                  -1
                  90                  33                   2                   0                   0                   0                  -1
                  91                  38                   4                   0                   0                   0                  -1
                  92                  76                   3                   0                   0                   0                  -1
                  93                  75                   2                   0                   0                   0                  -1
                  94                  59                   1                   0                   0                   0                  -1
                  95                  30                   3                   0                   0                   0                  -1
                  96                  36                   4                   0                   0                   0                  -1
                  97                  19                   4                   0                   0                   0                  -1
                  98                 144                   2                   0                   0                   0                  -1
                  99                 129                   5                   0                   0                   0                  -1
                 100                 177                   5                   0                   0                   0                  -1
                 101                  44                   4                   0                   0                   0                  -1
                 102                  14                   4                   0                   0                   0                  -1
                 103                   7                   1                   0                   0                   0                  -1
                 104                 105                   4                   0                   0                   0                  -1
                 105                 129                   4                   0                   0                   0                  -1
                 106                 170                   3                   0                   0                   0                  -1
                 107                 118                   2                   0                   0                   0                  -1
                 108                 125                   4                   0                   0                   0                  -1
                 109                  71                   4                   0                   0                   0                  -1
                 110                  91                   5                   0                   0                   0                  -1
                 111                 173                   1                   0                   0                   0                  -1
                 112                  45                   1                   0                   0                   0                  -1
                 113                 106                   5                   0                   0                   0                  -1
                 114                 155                   2                   0                   0                   0                  -1
                 115                  70                   3                   0                   0                   0                  -1
                 116                 143                   5                   0                   0                   0                  -1
                 117                 198                   3                   0                   0                   0                  -1
                 118                 156                   5                   0                   0                   0                  -1
                 119                 149                   2                   0                   0                   0                  -1
                 120                  23                   4                   0                   0                   0                  -1
                 121                 100                   4                   0                   0                   0                  -1
                 122                 147                   4                   0                   0                   0                  -1
                 123                 141                   3                   0                   0                   0                  -1
                 124                 112                   1                   0                   0                   0                  -1
                 125                   6                   2                   0                   0                   0                  -1
                 126                  62                   1                   0                   0                   0                  -1
                 127                  79                   1                   0                   0                   0                  -1
                 128                 121                   2                   0                   0                   0                  -1
                 129                  45                   2                   0                   0                   0                  -1
                 130                 123                   1                   0                   0                   0                  -1
                 131                 109                   2                   0                   0                   0                  -1
                 132                  83                   4                   0                   0                   0                  -1
                 133                 125                   3                   0                   0                   0                  -1
                 134                  63                   5                   0                   0                   0                  -1
                 135                   1                   2                   3                   2                   0                   0
                 136                  53                   5                   0                   0                   0                  -1
                 137                 180                   1                   0                   0                   0                  -1
                 138                  69                   2                   0                   0                   0                  -1
                 139                 174                   2                   0                   0                   0                  -1
                 140                  82                   1                   0                   0                   0                  -1
                 141                 134                   5                   0                   0                   0                  -1
                 142                  61                   4                   0                   0                   0                  -1
                 143                 200                   2                   0                   0                   0                  -1
                 144                 100                   2                   0                   0                   0                  -1
                 145                 160                   4                   0                   0                   0                  -1
                 146                  14                   4                   0                   0                   0                  -1
                 147                 191                   1                   0                   0                   0                  -1
                 148                 127                   2                   0                   0                   0                  -1
                 149                  85                   1                   0                   0                   0                  -1
                 150                  91                   5                   0                   0                   0                  -1
                 151                 177                   3                   0                   0                   0                  -1
                 152                 137                   3                   0                   0                   0                  -1
                 153                  46                   2                   0                   0                   0                  -1
                 154                 180                   4                   0                   0                   0                  -1
                 155                  88                   3                   0                   0                   0                  -1
                 156                 149                   3                   0                   0                   0                  -1
                 157                  60                   5                   0                   0                   0                  -1
                 158                 137                   1                   0                   0                   0                  -1
                 159                 143                   3                   0                   0                   0                  -1
                 160                   7                   2                   0                   0                   0                  -1
                 161                 114                   3                   0                   0                   0                  -1
                 162                 122                   1                   0                   0                   0                  -1
                 163                  20                   5                   0                   0                   0                  -1
                 164                 122                   5                   0                   0                   0                  -1
                 165                 140                   2                   0                   0                   0                  -1
                 166                 141                   3                   0                   0                   0                  -1
                 167                 106                   4                   0                   0                   0                  -1
                 168                 128                   1                   0                   0                   0                  -1
                 169                 185                   4                   0                   0                   0                  -1
                 170                 121                   5                   0                   0                   0                  -1
                 171                  23                   5                   0                   0                   0                  -1
                 172                 197                   2                   0                   0                   0                  -1
                 173                  31                   5                   0                   0                   0                  -1
                 174                  93                   3                   0                   0                   0                  -1
                 175                  73                   1                   0                   0                   0                  -1
                 176                  26                   1                   0                   0                   0                  -1
                 177                  23                   5                   0                   0                   0                  -1
                 178                  41                   3                   0                   0                   0                  -1
                 179                  99                   4                   0                   0                   0                  -1
                 180                  99                   1                   0                   0                   0                  -1
                 181                 125                   1                   0                   0                   0                  -1
                 182                  10                   2                   0                   0                   0                  -1
                 183                  20                   2                   0                   0                   0                  -1
                 184                 133                   1                   0                   0                   0                  -1
                 185                 195                   5                   0                   0                   0                  -1
                 186                 180                   5                   0                   0                   0                  -1
                 187                  74                   2                   0                   0                   0                  -1
                 188                  51                   1                   0                   0                   0                  -1
                 189                  61                   3                   0                   0                   0                  -1
                 190                 180                   5                   0                   0                   0                  -1
                 191                 194                   1                   0                   0                   0                  -1
                 192                  22                   3                   0                   0                   0                  -1
                 193                 105                   4                   0                   0                   0                  -1
                 194                 162                   5                   0                   0                   0                  -1
                 195                 127                   5                   0                   0                   0                  -1
                 196                 145                   3                   0                   0                   0                  -1
                 197                   3                   2                   5                   2                   0                   0
                 198                 185                   2                   0                   0                   0                  -1
                 199                  43                   4                   0                   0                   0                  -1
